customer_id,recency,frequency,monetary,cluster,PCA1,PCA2,TSNE1,TSNE2,segment,silhouette,confidence
12346.0,325.5826388890855,1,77183.6,3,0.8733137244602954,2.6858738908174087,33.857998,28.337109,Occasional Buyers,0.17322261940990868,1.2716979629654e-09
12347.0,2.3388888887129724,7,4310.0,1,2.5057458889875086,-0.7281337493745235,39.890503,-32.78453,Loyal Customers,0.4327890116249039,0.9505522867018218
12348.0,75.44930555578321,4,1797.24,3,0.47219272622409586,0.7506736148365334,42.916454,31.327219,Occasional Buyers,0.5547410809148922,0.9385410111824477
12349.0,18.589583333116025,1,1757.55,0,0.1521998500605291,-0.4695524347421846,-11.716871,-23.758688,Occasional Buyers,0.101413778584848,0.0
12350.0,310.3326388890855,1,334.4,2,-1.6883516067441087,0.6739671902244211,-66.28216,10.639207,At-Risk Customers,0.6011641009821632,0.9999972134009253
12352.0,36.390972222201526,8,2506.04,3,1.43402453291254,0.6456981192830139,56.951946,8.266773,Occasional Buyers,0.17460232783512752,0.11370381727774431
12353.0,204.25902777770534,1,89.0,2,-2.1535493543859046,-0.06854107990015376,-67.0303,-31.536922,At-Risk Customers,0.5389435722482947,0.9999990756881618
12354.0,232.45069444458932,1,1079.4,2,-1.0236898695245096,0.9183312976305983,-44.028713,15.982719,At-Risk Customers,0.27274332247329486,0.9999969769255392
12355.0,214.42430555541068,1,459.4,2,-1.3976791888065538,0.5567573410786357,-53.334007,9.357927,At-Risk Customers,0.5565683424424164,0.9999950708280497
12356.0,22.63888888899237,3,2811.43,3,0.9300882504907227,0.0864586430587968,27.296556,21.341085,Occasional Buyers,0.3373702737740642,0.8881717992547145
12357.0,33.328472222201526,1,6207.67,3,0.5367027137810118,0.34447197018645476,-33.027378,15.5051985,Occasional Buyers,0.19391001833805976,2.72349830783924e-07
12358.0,1.5652777776122093,2,1168.0600000000002,0,1.1002815154874035,-1.7468437123679847,13.515732,-36.212696,Occasional Buyers,0.30311774500620586,0.9986788999614153
